ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
710043,1743,14295,38184,56338,70303,72543,93964,96079,106602,109754,128566,158613,164265,165573,177041,178962,189816,191174,194040,195893,197542,204321,206427,214288,238869,242692,251144,254328,270240,272238,276866,281493,285157,286628,294155,312062,314601,318244,335331,336705,350298,352480,356941,358223,372133,373508,386038,388601,407917,412487,414327,419438,421226,430969,434013,442981,445648,470715,475492,481926,484180,493145,494551,499479,505684,507679,514388,518183
710047,1068,5388,10911,39399,42216,66640,69145,75834,77890,110963,114232,166624,177165,311073,322170,324392,329061,333765,352391,354028,366648,369313,407742,402902,405070,414860,417312,427993,430379,433137,434187,436033,448481,450102,463238,497474,495101,507611,518713,540191,544551,556956,565708,573775,575880,593343,622736,620457,650337,657368,690768,693110,697725,705244,709669,715347,718298,772608,772414,775588,786271,795190,797950,811894,813770,825770,828927,837575
710051,0,4866,9238,20252,24648,42805,46955,73262,77741,123071,126798,131696,143531,146236,156552,158481,164614,169868,171427,181620,184267,186951,280854,284480,289027,292259,307013,313073,325601,334699,337398,339000,363375,389704,391787,394235,425057,427826,459993,461962,469213,470518,490715,492672,504366,504941,515626,522836,533162,552661,573502,577183,588286,590271,600316,603556,618104,633872,639306,643371,645251,655104,657218,664383,674049,675435,682565,689071
710052,4795,9977,13396,25282,28013,36729,38896,40484,41984,43196,53153,56268,63091,100500,101323,117615,123091,136156,138950,145621,156537,161038,164136,169430,188682,194716,196664,199858,201456,211734,213419,218987,223178,261078,269313,272830,276401,281622,284327,291147,293122,298938,301481,309110,330726,334438,336446,338035,340287,343580,344763,347560,348584,350863,352098,356986,362135,384838,389005,392443,396314,404392,406499,409379,414185,415526,420219,424281
710055,3637,8547,17529,19492,33409,35488,44838,55552,58629,60785,79440,81066,85439,87369,97907,100253,113973,116328,140086,141689,143597,149187,159676,161069,181541,182493,187335,192354,193782,203400,217702,220150,225501,229141,259944,262023,271937,273437,275347,276967,278310,296977,299757,309952,312171,315491,318931,338295,349692,352981,388894,390604,398271,400103,412663,413558,416620,419748,451941,453727,466092,467276,472212,473155,491383,492482,500486,501721
710060,17899,23837,27785,30925,33115,40895,45187,51745,54439,89626,94928,98001,109728,114404,122992,126843,130052,133137,135018,141853,143971,136182,170523,174365,178686,191988,195098,209929,211219,215980,217651,227531,231935,239955,247933,270167,275498,281825,285312,298553,299735,301532,302885,305593,309827,311738,333335,337605,341655,344617,353246,355056,357978,360778,363134,364891,368218,382979,386781,391127,395887,401622,405224,410957,413326,419660,421625,428698
710079,1187,8985,18831,27269,43599,55260,64529,79734,85237,88706,107333,139265,143640,152696,168190,172246,189146,191969,197623,200629,203274,217290,226040,242032,258330,263398,268036,272595,274752,287177,289484,299340,303010,322616,326697,331333,363450,368375,393062,394951,398338,400890,422593,424928,449220,455885,475405,484690,500964,508285,527303,532589,539452,553725,557804,572114,582311,596565,602798,618055,635172,651418,660735,683754,687960,699192,705892,723436
710081,0,10293,28828,41913,62326,65548,86118,89784,101533,104586,111283,136999,147912,151409,165962,169508,180428,182456,188175,192018,203412,205544,215665,219283,237561,249926,259431,264255,275386,278360,283181,290387,296277,298674,310961,324012,337761,341702,349403,350886,357114,358855,360024,361096,362733,369518,373035,379957,391724,402142,408579,411905,420729,422822,425025,430764,432499,437310,442035,459458,467823,469709,475862,477419,482592,483772,489480,491406
710085,0,5761,7854,14600,18464,28782,31583,37286,41159,47231,65636,70556,87693,105654,111267,116029,119115,129203,133316,144791,150858,155110,161270,167964,193212,203144,206666,212877,220188,225027,236387,242369,249757,252534,258295,277552,282972,288106,290541,301587,304919,315933,324372,327194,340427,346083,377387,380524,383997,386428,392797,399930,404385,412227,420432,477541,474270,477030,505705,509587,529730,535135,545863,548258,571826,574806,594186,600712
710091,11117,17390,27691,30071,43658,47142,54800,63854,67159,75980,89507,143718,153148,160933,163012,169450,171476,175410,178494,183237,185040,189645,208990,221215,223198,227873,229306,231151,232646,235917,238831,267582,275481,276815,280613,282833,286881,289457,296423,301411,305980,308551,310144,314350,347525,351934,358640,372037,377363,380400,393364,395666,410133,411982,421409,440561,443522,445430,449502,454772,462329,464125,466643,468171,472512,473718,476895,505035
